('Success', 'Yes')('FPS', '3.71')
('Success', 'Yes')('FPS', '4.68')
('Success', 'Yes')('FPS', '4.51')
('Success', 'Yes')('FPS', '4.71')
('Success', 'Yes')('FPS', '4.78')
('Success', 'Yes')('FPS', '4.85')
('Success', 'Yes')('FPS', '4.97')
('Success', 'Yes')('FPS', '5.03')
('Success', 'Yes')('FPS', '5.25')
('Success', 'Yes')('FPS', '5.45')
('Success', 'Yes')('FPS', '5.49')
('Success', 'Yes')('FPS', '5.52')
('Success', 'Yes')('FPS', '5.59')
('Success', 'Yes')('FPS', '5.51')
('Success', 'Yes')('FPS', '5.20')
('Success', 'Yes')('FPS', '4.94')
('Success', 'Yes')('FPS', '4.86')
('Success', 'Yes')('FPS', '4.71')
('Success', 'Yes')('FPS', '4.65')
('Success', 'Yes')('FPS', '4.49')
('Success', 'Yes')('FPS', '4.43')
('Success', 'Yes')('FPS', '4.39')
('Success', 'Yes')('FPS', '4.30')
('Success', 'Yes')('FPS', '4.29')
('Success', 'Yes')('FPS', '4.28')
('Success', 'Yes')('FPS', '4.27')
('Success', 'Yes')('FPS', '4.26')
('Success', 'Yes')('FPS', '4.18')
('Success', 'Yes')('FPS', '4.17')
('Success', 'Yes')('FPS', '4.17')
('Success', 'Yes')('FPS', '4.14')
('Success', 'Yes')('FPS', '4.06')
('Success', 'Yes')('FPS', '3.94')
('Success', 'Yes')('FPS', '3.92')
('Success', 'Yes')('FPS', '3.93')
('Success', 'Yes')('FPS', '3.93')
('Success', 'Yes')('FPS', '3.93')
('Success', 'Yes')('FPS', '3.90')
('Success', 'Yes')('FPS', '3.90')
('Success', 'Yes')('FPS', '3.90')
('Success', 'Yes')('FPS', '3.91')
('Success', 'Yes')('FPS', '3.89')
('Success', 'Yes')('FPS', '3.87')
('Success', 'Yes')('FPS', '3.88')
('Success', 'Yes')('FPS', '3.88')
('Success', 'Yes')('FPS', '3.89')
('Success', 'Yes')('FPS', '3.89')
('Success', 'Yes')('FPS', '3.87')
('Success', 'Yes')('FPS', '3.84')
('Success', 'Yes')('FPS', '3.83')
